TAP_College_Code,TAP_Sector_Group,TAP_College_Name,prev_scholarship,family_Employees,Scholarship_Headcount,Active_Student,Family_Card,Academic_year,Semister_Aattendence,GPA,Annual_income,Scholarship_rupees 
590,5-INDEPENDENT,PACE UNIVERSITY,N,3,113,Y,Y,2018,91,8.2,92253,41369.45
2083,5-INDEPENDENT,HILBERT COLLEGE,Y,2,70,N,N,2018,74,7.2,119586,36698.2
2105,4-SUNY CC,MOHAWK VALLEY COMMUNITY COLLEGE,N,4,42,Y,Y,2018,72,6.8,58060,44570.34
190,5-INDEPENDENT,CROUSE HOSPITAL,Y,1,7,N,N,2018,90,6.2,115405,48127.63
5310,5-INDEPENDENT,PACE UNIVERSITY GRAD,N,3,4,Y,Y,2018,72,5.7,114412,50615.13
913,3-SUNY SO,SUC EMPIRE STATE COLLEGE,Y,2,71,N,N,2018,69,4.4,82572,45873.55
2075,6-BUS. DEGREE,FIVE TOWNS COLLEGE,N,1,58,Y,Y,2018,67,8.4,118880,49248.47
1404,2-CUNY CC,CUNY MANHATTAN CC,Y,4,75,N,N,2018,65,4.8,54132,49827.85
3010,3-SUNY SO,SUNY COLLEGE OF TECH AT CANTON,N,3,19,Y,Y,2018,91,9.1,82978,37097.21
591,5-INDEPENDENT,PACE UNIVERSITY WESTCHESTER,Y,2,85,N,N,2018,89,5.9,97324,54381.31
7736,6-BUS. DEGREE,BRYANT & STRATTON SYRACUSE,N,4,4,Y,Y,2018,89,7.6,96451,50711.58
5830,5-INDEPENDENT,MOLLOY COLLEGE,Y,4,5,N,N,2018,73,5.9,113870,45535.23
403,5-INDEPENDENT,LONG ISLAND UNIVERSITY,N,3,350,Y,Y,2018,70,6.8,54989,41572.9
5271,1-CUNY SR,CUNY HERBERT H LEHMAN GRAD,Y,2,4,N,N,2018,73,6.9,89235,39197.13
755,5-INDEPENDENT,ST JOSEPHS COLLEGE,N,4,32,Y,Y,2018,90,6.5,58055,53590.26
990,5-INDEPENDENT,UNION COLLEGE,Y,3,71,N,N,2018,69,7.2,66319,43867.92
2050,5-INDEPENDENT,DOMINICAN COLLEGE OF BLAUVELT,N,2,44,Y,Y,2018,68,5.2,105501,42732.56
2000,4-SUNY CC,ADIRONDACK COMMUNITY COLLEGE,Y,1,51,N,N,2018,82,6.2,50329,44885.59
2125,4-SUNY CC,ORANGE COUNTY COMMUNITY COLLEGE,N,4,24,Y,Y,2018,71,5.7,75914,54438.17
995,5-INDEPENDENT,ALBANY COLLEGE OF PHARMACY,Y,3,76,N,N,2018,90,7.3,58764,35697.24
3025,3-SUNY SO,SUNY COLLEGE OF TECH FARMINGDALE,N,2,14,Y,Y,2018,65,5.8,115605,50010.11
